FQDN,IP Address,Ping (ms),Release,Operator Stake,Total Delegated Stake,Delegates Count,Status,Prescribed Epoch Count,Observed Epoch Count,Total Epoch Count,Passed Epoch Count,Failed Epoch Count,Failed Consecutive Epochs,Passed Consecutive Epochs,ISP,Geo Location,Error Message,Process Id,ANS-104 Unbundle Filter,ANS-104 Index Filter,Supported Manifest Versions
svgtmrgl.store,157.173.110.142,527.7739589999983,29,62500000000,14002446993,0,joined,4,0,57,53,4,0,32,N/A,", GB",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ario-testnet.us.nodefleet.org,N/A,-1,N/A,62500000000,16812123119,0,joined,15,11,57,47,10,10,0,N/A,N/A,connect ECONNREFUSED 64.20.48.210:443,N/A,[object Object],[object Object],[object Object]
arnode.xyz,135.181.232.91,612.7008329999953,31,62500000000,246297032932,0,joined,31,31,57,56,1,0,12,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
arweave.ar,172.67.150.171,277.19695800000045,27,62500000000,126974438512,0,joined,9,0,57,57,0,0,57,N/A,", US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
maclaurinoo.xyz,116.203.151.116,1563.0869579999999,29,62500000000,26783867416,0,joined,4,2,57,39,18,0,34,N/A,"Frankfurt am Main, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
exodusdiablo.xyz,85.239.231.0,299.8332919999957,31,62500000000,14336225226,0,joined,10,4,57,56,1,0,39,N/A,"New York, US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
campnodes.xyz,78.47.218.92,562.8501249999972,32,62500000000,18050399229,0,joined,14,14,57,56,1,0,20,N/A,", DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
g8way.io,172.67.73.220,244.87512500000594,30,62500000000,0,0,joined,6,0,57,57,0,0,57,N/A,", US",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
ar.ilaybilge.xyz,194.163.159.100,654.2520829999994,30,62500000000,14941811402,0,joined,2,1,57,35,22,0,20,N/A,"Düsseldorf, DE",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
testnetnodes.xyz,95.217.16.224,615.5907089999964,32,62500000000,44540838184,0,joined,12,11,57,52,5,0,20,N/A,"Helsinki, FI",,qNvAoz0TgcH7DMg8BCVn8jF32QH5L6T29VjHxhHqqGE,[object Object],[object Object],
